Site_ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,Total Detection,Species
IDN-002-L0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP1
IDN-002-L0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0031,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SP2
IDN-002-L0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SP2
IDN-002-L0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP2
IDN-002-L0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0020,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,SP3
IDN-002-L0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0029,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,SP3
IDN-002-L0030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0047,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,SP3
IDN-002-L0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP3
IDN-002-L0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP4
IDN-002-L0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP4
IDN-002-L0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP4
IDN-002-L0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP4
IDN-002-L0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP4
IDN-002-L0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP4
IDN-002-L0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP4
IDN-002-L0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP4
IDN-002-L0011,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,5,SP4
IDN-002-L0012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,SP4
IDN-002-L0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP4
IDN-002-L0014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,SP4
IDN-002-L0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SP4
