Site_ID,fYear,fSite,Trap_Effort,CT_type,tri_1500,elev_1000,biomass_1000,prop_forest_1500,d_water,ttcsm
IDN-002-L0001,1,1,64,2,1.216799867,19.1556562,210.8362393,0.745027982,556.8085938,5196.171875
IDN-002-L0002,1,1,57,2,1.088059277,27.72100934,145.362618,1,878.4663696,10640.04395
IDN-002-L0003,1,1,57,2,2.054706904,32.40017381,272.9459761,1,2070.224365,10787.55566
IDN-002-L0004,1,1,65,2,2.113048232,32.7032241,278.1971094,1,2121.600342,10991.20996
IDN-002-L0005,1,1,78,2,1.154679311,32.29825327,231.0908312,1,2414.65625,10873.58984
IDN-002-L0006,1,1,71,2,1.435162643,20.86172815,94.62655509,0.871978985,18.55629921,4222.577148
IDN-002-L0007,1,1,59,2,5.047262305,96.15785534,67.23528658,0.199247854,509.4128113,3148.291504
IDN-002-L0008,1,1,53,2,4.060535093,56.27812281,43.6438667,0.189062168,330.4536438,11965.73438
IDN-002-L0011,1,1,65,2,5.127241022,65.07724017,162.7992761,0.502085631,160.8544159,12289.4209
IDN-002-L0012,1,1,70,2,5.059394908,59.57826454,82.58285415,0.356243898,631.5620728,3618.908203
IDN-002-L0013,1,1,60,1,4.386211975,69.87346291,110.7110037,0.451349075,280.4850464,6741.23291
IDN-002-L0014,1,1,63,2,2.569467594,28.02916021,188.149731,0.718249925,235.6842499,10693.56836
IDN-002-L0015,1,1,64,2,5.975134874,88.58266406,95.27281271,0.516267062,291.5673828,18042.00781
IDN-002-L0016,1,1,65,1,6.735945599,114.356907,212.0270202,0.584772798,409.6879883,19832.74414
IDN-002-L0017,1,1,40,2,6.474193851,178.2210128,242.2924021,0.699285209,433.2496643,22351.32617
IDN-002-L0018,1,1,46,2,6.544426789,122.0876668,268.513382,0.915295668,97.55787659,22889.37109
IDN-002-L0019,1,1,62,2,6.20679272,123.5774824,250.7302095,1,86.75257111,24241.27734
IDN-002-L0020,1,1,60,2,7.302455018,199.5008725,305.7817241,1,289.7279968,29363.30859
IDN-002-L0021,1,1,17,2,9.000926832,379.0627198,293.0032293,1,632.9663696,22142.25586
IDN-002-L0022,1,1,64,1,8.732433065,377.5106355,303.7199371,1,406.6525574,21332.17578
IDN-002-L0023,1,1,57,2,8.806373486,179.0762486,271.7183318,0.96460853,130.4060059,13125.00488
IDN-002-L0024,1,1,65,1,7.110696154,157.9509066,234.0030138,0.757627838,395.0813904,12106.93359
IDN-002-L0025,1,1,71,2,1.770150827,35.20334823,50.31777852,0.054540632,1366.060669,6055.616211
IDN-002-L0026,1,1,53,1,13.05438769,887.3391898,253.7441147,1,504.0357361,49248.00391
IDN-002-L0027,1,1,48,1,9.934649208,511.8740554,205.5803071,0.037153661,772.315918,12929.27246
IDN-002-L0028,1,1,47,1,9.462833557,209.3042494,128.3045168,0.076058032,183.2254639,13071.01953
IDN-002-L0029,1,1,46,1,8.680339817,137.7496666,78.43782791,0,422.3340454,11342.92969
IDN-002-L0030,1,1,46,1,10.77545301,338.3273161,233.4240616,0.972664205,10.40600014,50036.09375
IDN-002-L0031,1,1,45,1,12.3348708,265.1611993,215.1338298,0.443585119,16.08917618,14174.68555
IDN-002-L0032,1,1,45,1,14.610687,610.5983501,210.1206076,0.424897774,501.242157,18877.25781
IDN-002-L0033,1,1,44,1,12.3289077,383.9905197,208.0131743,0.979132205,184.5983734,58226.62109
IDN-002-L0034,1,1,44,1,13.28595455,972.0304431,242.9349202,0.546415382,1107.210693,23233.38867
IDN-002-L0035,1,1,44,1,12.48893934,792.8953611,234.6326166,0.675821028,646.5211792,26090.7207
IDN-002-L0036,1,1,25,1,11.67947487,506.2360176,129.9769939,0.002626481,190.5032959,13045.44043
IDN-002-L0037,1,1,65,1,10.96554811,503.811719,238.4920921,0,1480.199951,11003.51953
IDN-002-L0038,1,1,65,1,11.59798755,729.6980953,244.8841393,1,79.59400177,31499.11914
IDN-002-L0039,1,1,64,1,12.17585584,788.5716336,270.4242982,1,268.5612488,48814.11719
IDN-002-L0040,1,1,64,1,12.13301404,816.611554,223.2777378,0.614873753,129.7502136,20530.625
IDN-002-L0041,1,1,63,1,10.62948294,315.4378392,230.5702125,0.602038216,48.22829437,17273.82227
IDN-002-L0042,1,1,59,1,11.31972985,329.4875291,90.71984147,0,18.55629921,10852.66406
IDN-002-L0043,1,1,59,1,11.539395,767.708672,147.809771,0.24815924,283.1749268,12082.43066
IDN-002-L0044,1,1,59,1,9.018837144,377.9962921,109.3738933,0,547.6134033,8301.741211
IDN-002-L0045,1,1,71,1,12.36048814,1112.981679,243.2079966,1,710.9525146,43472.27734
IDN-002-L0046,1,1,70,1,12.14055471,1046.246591,260.0282866,1,593.9550781,44256.41406
IDN-002-L0047,1,1,61,1,12.8456658,980.7514602,245.6551981,0.678259301,1627.349731,25344.37695
IDN-002-L0048,1,1,70,1,12.22421521,792.2361697,233.8843554,0.528739901,1291.066162,11510.58594
IDN-002-L0049,1,1,63,1,13.15357054,879.3341381,253.6412834,1,588.7906494,49545.24609
IDN-002-L0050,1,1,42,1,12.32368497,599.3210669,269.7547794,0.988962425,70.16131592,52092.60547
