Species,Site
SP1,IDN-002-L0001
SP1,IDN-002-L0002
SP1,IDN-002-L0003
SP1,IDN-002-L0004
SP1,IDN-002-L0005
SP1,IDN-002-L0006
SP1,IDN-002-L0007
SP1,IDN-002-L0008
SP1,IDN-002-L0011
SP1,IDN-002-L0012
SP1,IDN-002-L0013
SP1,IDN-002-L0014
SP1,IDN-002-L0015
SP1,IDN-002-L0016
SP1,IDN-002-L0017
SP1,IDN-002-L0018
SP1,IDN-002-L0019
SP1,IDN-002-L0020
SP1,IDN-002-L0021
SP1,IDN-002-L0022
SP1,IDN-002-L0023
SP1,IDN-002-L0024
SP1,IDN-002-L0025
SP1,IDN-002-L0026
SP1,IDN-002-L0027
SP1,IDN-002-L0028
SP1,IDN-002-L0029
SP1,IDN-002-L0030
SP1,IDN-002-L0031
SP1,IDN-002-L0032
SP1,IDN-002-L0033
SP1,IDN-002-L0034
SP1,IDN-002-L0035
SP1,IDN-002-L0036
SP1,IDN-002-L0037
SP1,IDN-002-L0038
SP1,IDN-002-L0039
SP1,IDN-002-L0040
SP1,IDN-002-L0041
SP1,IDN-002-L0042
SP1,IDN-002-L0043
SP1,IDN-002-L0044
SP1,IDN-002-L0045
SP1,IDN-002-L0046
SP1,IDN-002-L0047
SP1,IDN-002-L0048
SP1,IDN-002-L0049
SP1,IDN-002-L0050
SP2,IDN-002-L0001
SP2,IDN-002-L0002
SP2,IDN-002-L0003
SP2,IDN-002-L0004
SP2,IDN-002-L0005
SP2,IDN-002-L0006
SP2,IDN-002-L0007
SP2,IDN-002-L0008
SP2,IDN-002-L0011
SP2,IDN-002-L0012
SP2,IDN-002-L0013
SP2,IDN-002-L0014
SP2,IDN-002-L0015
SP2,IDN-002-L0016
SP2,IDN-002-L0017
SP2,IDN-002-L0018
SP2,IDN-002-L0019
SP2,IDN-002-L0020
SP2,IDN-002-L0021
SP2,IDN-002-L0022
SP2,IDN-002-L0023
SP2,IDN-002-L0024
SP2,IDN-002-L0025
SP2,IDN-002-L0026
SP2,IDN-002-L0027
SP2,IDN-002-L0028
SP2,IDN-002-L0029
SP2,IDN-002-L0030
SP2,IDN-002-L0031
SP2,IDN-002-L0032
SP2,IDN-002-L0033
SP2,IDN-002-L0034
SP2,IDN-002-L0035
SP2,IDN-002-L0036
SP2,IDN-002-L0037
SP2,IDN-002-L0038
SP2,IDN-002-L0039
SP2,IDN-002-L0040
SP2,IDN-002-L0041
SP2,IDN-002-L0042
SP2,IDN-002-L0043
SP2,IDN-002-L0044
SP2,IDN-002-L0045
SP2,IDN-002-L0046
SP2,IDN-002-L0047
SP2,IDN-002-L0048
