site.ID,fSite,SP1,SP1_SD,SP2,SP2_SD,SP3,SP3_SD,Occu_Mean,Occu_SD,SPR_Mean,SPR_SD,SESFDis,mpd.obs.z
IDN-002-L0001,1,0.026,0.059,0.049,0.122,0.043,0.104,0.108,0.101,5.265,1.378,0.790812454,0.756145056
IDN-002-L0002,1,0.043,0.086,0.058,0.138,0.043,0.105,0.113,0.108,3.834,1.591,-0.060002925,0.628523252
IDN-002-L0003,1,0.033,0.065,0.031,0.085,0.051,0.11,0.096,0.087,4.298,1.413,-0.641778609,0.886151025
IDN-002-L0004,1,0.033,0.065,0.03,0.083,0.051,0.111,0.095,0.086,3.169,1.393,0.007592749,0.688893454
IDN-002-L0005,1,0.04,0.084,0.043,0.115,0.049,0.118,0.087,0.089,4.277,1.448,1.04711343,0.923269186
IDN-002-L0006,1,0.04,0.087,0.057,0.136,0.053,0.12,0.133,0.121,3.904,1.623,-0.078206255,0.602932263
IDN-002-L0007,1,0.055,0.088,0.018,0.045,0.093,0.131,0.155,0.105,6.314,1.447,0.558721678,1.632109337
IDN-002-L0008,1,0.07,0.108,0.024,0.061,0.054,0.098,0.143,0.104,6.44,1.468,0.488412744,1.494637289
IDN-002-L0011,1,0.047,0.063,0.018,0.037,0.063,0.091,0.158,0.097,9.652,1.181,0.088125796,0.222738376
IDN-002-L0012,1,0.05,0.081,0.015,0.037,0.092,0.128,0.148,0.101,8.742,1.211,0.332120943,1.253287461
IDN-002-L0013,1,0.045,0.073,0.021,0.049,0.069,0.108,0.152,0.103,5.529,1.217,0.924666662,0.787855055
IDN-002-L0014,1,0.033,0.059,0.034,0.084,0.042,0.088,0.128,0.1,5.52,1.45,1.554034512,1.066193564
IDN-002-L0015,1,0.082,0.099,0.018,0.035,0.072,0.094,0.172,0.102,5.267,1.426,1.379378554,1.903639283
IDN-002-L0016,1,0.065,0.069,0.016,0.026,0.076,0.085,0.173,0.092,4.605,1.217,0.147211526,1.725688757
IDN-002-L0017,1,0.067,0.067,0.022,0.032,0.071,0.08,0.184,0.091,6.324,1.392,-0.290518468,1.086406436
IDN-002-L0018,1,0.059,0.065,0.022,0.033,0.074,0.086,0.188,0.097,5.491,1.453,1.256986609,1.964239532
